EXPIRATION,SIG,WFO,MSG_TYPE,PHENOM,URL,PROD_TYPE,ISSUANCE,WARNID,EVENT
,W,KCHS,FLS,FL,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984474-3382104,Flood Warning,2020-01-02T14:31:00+00:00,O.CON.KCHS.FL.W.0017.1577975460,"0017"
2020-01-04T09:00:00+00:00,W,KDTX,FLS,FL,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984469-3382099,Flood Warning,2020-01-02T14:27:00+00:00,O.EXT.KDTX.FL.W.0001.1577975220,"0001"
,W,KBMX,FLS,FL,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984466-3382096,Flood Warning,2020-01-04T00:54:00+00:00,O.EXT.KBMX.FL.W.0002.1578099240,"0002"
,W,KBMX,FLS,FL,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984467-3382097,Flood Warning,2020-01-03T07:56:00+00:00,O.EXT.KBMX.FL.W.0001.1578038160,"0001"
,W,KBMX,FLS,FL,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984468-3382098,Flood Warning,2020-01-04T14:50:00+00:00,O.EXT.KBMX.FL.W.0006.1578149400,"0006"
2020-01-02T23:00:00+00:00,Y,KLOX,NPW,WI,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984464-3382093,Wind Advisory,2020-01-02T14:23:00+00:00,O.EXA.KLOX.WI.Y.0001.1577974980,"0001"
2020-01-02T23:00:00+00:00,Y,KLOX,NPW,WI,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984464-3382093,Wind Advisory,2020-01-02T14:23:00+00:00,O.EXA.KLOX.WI.Y.0001.1577974980,"0001"
2020-01-02T20:00:00+00:00,Y,KLOX,NPW,WI,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984462-3382090,Wind Advisory,2020-01-02T14:23:00+00:00,O.EXA.KLOX.WI.Y.0001.1577974980,"0001"
2020-01-02T20:00:00+00:00,Y,KLOX,NPW,WI,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984463-3382092,Wind Advisory,2020-01-02T14:23:00+00:00,O.CON.KLOX.WI.Y.0001.1577974980,"0001"
2020-01-02T23:00:00+00:00,Y,KLOX,NPW,WI,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984465-3382095,Wind Advisory,2020-01-02T14:23:00+00:00,O.CON.KLOX.WI.Y.0001.1577974980,"0001"
2020-01-02T23:00:00+00:00,Y,KLOX,NPW,WI,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984465-3382095,Wind Advisory,2020-01-02T14:23:00+00:00,O.CON.KLOX.WI.Y.0001.1577974980,"0001"
2020-01-02T23:00:00+00:00,Y,KLOX,NPW,WI,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984465-3382095,Wind Advisory,2020-01-02T14:23:00+00:00,O.CON.KLOX.WI.Y.0001.1577974980,"0001"
2020-01-02T23:00:00+00:00,Y,KLOX,NPW,WI,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984465-3382095,Wind Advisory,2020-01-02T14:23:00+00:00,O.CON.KLOX.WI.Y.0001.1577974980,"0001"
2020-01-02T23:00:00+00:00,Y,KLOX,NPW,WI,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984465-3382095,Wind Advisory,2020-01-02T14:23:00+00:00,O.CON.KLOX.WI.Y.0001.1577974980,"0001"
2020-01-02T18:00:00+00:00,Y,KSTO,NPW,FG,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984460-3382088,Dense Fog Advisory,2020-01-02T14:21:00+00:00,O.CON.KSTO.FG.Y.0001.1577974860,"0001"
2020-01-02T18:00:00+00:00,Y,KSTO,NPW,FG,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984460-3382088,Dense Fog Advisory,2020-01-02T14:21:00+00:00,O.CON.KSTO.FG.Y.0001.1577974860,"0001"
2020-01-07T01:30:00+00:00,W,KJAN,FLS,FL,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984458-3382086,Flood Warning,2020-01-04T16:48:00+00:00,O.EXT.KJAN.FL.W.0001.1578156480,"0001"
2020-01-06T08:24:00+00:00,W,KJAN,FLS,FL,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984459-3382087,Flood Warning,2020-01-03T12:00:00+00:00,O.EXT.KJAN.FL.W.0019.1578052800,"0019"
,W,KJAN,FLS,FL,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984457-3382085,Flood Warning,2020-01-04T04:27:00+00:00,O.EXT.KJAN.FL.W.0002.1578112020,"0002"
2020-01-04T01:20:00+00:00,W,KILX,FLS,FL,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984455-3382083,Flood Warning,2020-01-02T14:10:00+00:00,O.EXT.KILX.FL.W.0083.1577974200,"0083"
2020-01-03T00:00:00+00:00,Y,KLCH,NPW,WI,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984454-3382082,Wind Advisory,2020-01-02T14:00:00+00:00,O.NEW.KLCH.WI.Y.0001.1577973600,"0001"
2020-01-03T00:00:00+00:00,Y,KLCH,NPW,WI,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984454-3382082,Wind Advisory,2020-01-02T14:00:00+00:00,O.NEW.KLCH.WI.Y.0001.1577973600,"0001"
2020-01-03T00:00:00+00:00,Y,KLCH,NPW,WI,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984454-3382082,Wind Advisory,2020-01-02T14:00:00+00:00,O.NEW.KLCH.WI.Y.0001.1577973600,"0001"
